audit,repository,source_sha,path,requested_scope,coverage_limit,focus,connector_response_ids,source_url
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/policy/simple.rs,full,full text returned,scoring/current focus/tokenization,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/policy/simple.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-runtime/src/frame.rs,1-390;390-670,partial file,shadow counters/authority classes/gate,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-runtime/src/frame.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/index/catalog.rs,1-330;325-725,partial file,catalog/candidates/dirty sync,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/index/catalog.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-contracts/src/search.rs,1-395,partial file,tokenization/inverted index/rarity,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-contracts/src/search.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/gc/full/mod.rs,1-360;650-945,partial file; first response tail truncated,mark/sweep/reactivation/store plan,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/gc/full/mod.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/engine.rs,1-320;1518-1614;1710-1960,partial file; config response tail truncated,config/clocks/ACK/search/restore,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/engine.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/context-simple/src/store.rs,1-340;340-750,partial file; latter response tail truncated,bounded store/residual reads/final ranking,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/context-simple/src/store.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/tool-runtime/src/proof_runner.rs,1-320,partial file,host proof/process runner,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/tool-runtime/src/proof_runner.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/agent-compose/src/proof_verifier.rs,full,full text returned,cancellation bridge,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/agent-compose/src/proof_verifier.rs
previous-delivered-ledger,Ye-Luo-0912/context-agent-prototype,12c86283b8d5991e9f17a07f14871dcf39d65066,crates/tool-runtime/src/tools/process.rs,250-620;700-1110,partial file; latter response tail truncated,resolution/process wait/cancel/guard,,https://github.com/Ye-Luo-0912/context-agent-prototype/blob/12c86283b8d5991e9f17a07f14871dcf39d65066/crates/tool-runtime/src/tools/process.rs
